State,District,Murder,Attempt_to_commit_Murder,Rape,Kidnapping_Abduction,Robbery,Burglary,Theft,Riots,Cheating,Hurt,Dowry_Deaths,Assault_on_Women,Sexual_Harassment,Stalking,Death_by_Negligence,Extortion,Incidence_of_Rash_Driving,Total
Jharkhand,Total,1658,907,1050,1423,521,1442,7046,1537,1855,1344,350,440,114,5,1671,500,2561,24424
Karnataka,Bagalkot,39,50,22,25,17,125,161,198,91,29,4,96,0,0,285,0,581,1723
Karnataka,Bengaluru City,241,489,104,708,1067,1542,11455,373,3045,217,57,680,53,19,885,152,4315,25402
Karnataka,Bengaluru District,78,82,60,83,145,262,667,248,318,32,22,135,0,0,614,0,0,2746
Karnataka,Belagavi District,75,99,59,47,40,205,326,403,115,94,4,233,23,2,605,6,1429,3765
Karnataka,Ballari,58,65,48,20,49,216,380,233,228,338,12,121,0,0,320,0,802,2890
Karnataka,Bidar,44,44,33,52,38,127,250,219,75,34,10,82,0,0,256,5,1217,2486
Karnataka,Vijayapura,64,94,45,43,48,127,151,276,68,40,7,127,24,2,359,0,798,2273
Karnataka,Chikkaballapura,32,45,36,27,21,103,231,179,89,26,10,106,0,0,221,3,490,1619
Karnataka,Chamarajnagar,28,36,11,19,7,41,138,85,31,13,5,92,2,1,140,0,342,991
Karnataka,Chikkamagaluru,39,53,30,38,34,104,215,93,86,22,5,172,0,0,10,0,0,901
Karnataka,Chitradurga,47,31,24,31,24,100,266,244,77,14,17,241,0,0,360,0,1501,2977
Karnataka,Dakshina Kannada,26,33,40,10,19,100,91,141,88,16,1,70,8,2,151,1,818,1615
Karnataka,Davanagere,45,62,40,60,45,170,439,266,111,35,9,211,27,2,267,1,963,2753
Karnataka,Dharwad,24,23,23,8,9,38,69,106,29,24,3,32,4,2,195,0,384,973
Karnataka,Gadag,12,18,15,11,14,55,82,92,48,18,2,31,0,0,126,0,361,885
Karnataka,Kalaburgi,75,97,53,66,67,196,307,0,110,69,14,145,0,0,361,3,1208,2771
Karnataka,Hassan,64,96,63,57,33,181,344,156,110,4,11,251,0,0,409,0,1703,3482
Karnataka,Haveri,28,44,40,17,12,79,253,250,37,23,10,94,0,0,196,0,714,1797
Karnataka,Hubballi Dharwad City,20,35,21,37,72,141,321,109,130,34,7,31,3,0,108,0,436,1505
Karnataka,K.G.F.,13,37,20,12,19,45,70,39,64,7,1,21,5,1,70,3,117,544
Karnataka,Kodagu,33,33,25,36,9,99,128,0,80,13,1,60,0,0,63,0,456,1036
Karnataka,Kolar,35,67,32,18,42,61,184,208,80,10,8,67,13,3,234,0,594,1656
Karnataka,Koppal,26,12,28,31,12,58,188,175,111,183,4,34,0,0,171,0,627,1660
Karnataka,Mandya,41,65,36,69,61,201,421,216,88,37,11,278,0,0,385,0,1324,3233
Karnataka,Mangaluru City,30,79,25,22,57,228,230,119,282,11,1,72,0,0,215,0,960,2331
Karnataka,Mysuru City,24,35,41,52,73,106,542,68,227,20,3,87,10,4,109,11,663,2075
Karnataka,Mysuru District,52,51,41,50,28,183,496,254,87,34,20,201,0,0,298,0,867,2662
Karnataka,Raichur,53,64,55,37,10,66,209,300,132,39,5,198,0,0,273,3,673,2117
Karnataka,K.Railways,13,1,1,4,96,0,712,0,6,23,1,9,9,0,7,0,0,882
Karnataka,Ramanagar,73,59,43,55,81,207,454,221,102,50,12,142,0,0,0,0,1400,2899
Karnataka,Shimoga,50,50,58,54,60,312,326,350,236,38,8,404,0,11,287,0,1718,3962
Karnataka,Tumakuru,55,50,36,34,50,140,293,193,176,44,15,242,12,0,554,0,1449,3343
Karnataka,Udupi,22,23,28,19,38,94,126,73,129,17,3,111,48,8,205,18,982,1944
Karnataka,Uttara Kannada,21,26,25,32,29,105,111,103,108,38,0,154,8,2,245,0,1042,2049
Karnataka,Yadgiri,31,40,41,22,13,40,68,119,26,36,2,148,1,3,150,0,364,1104
Karnataka,Belagavi City,25,37,22,27,77,175,315,155,115,35,8,85,3,2,151,0,609,1841
Karnataka,Total,1636,2225,1324,1933,2516,6032,21019,6264,6935,1717,313,5263,253,64,9285,206,31907,98892
Kerala,Alapuzha,19,33,61,8,54,190,226,213,429,117,0,245,41,0,305,0,5759,7700
Kerala,Ernakulam Commr.,13,29,64,4,17,157,331,57,749,49,0,158,158,0,114,3,13431,15334
Kerala,Ernakulam Rural,19,27,71,8,32,193,363,311,320,167,0,224,29,0,278,0,14471,16513
Kerala,Idukki,20,25,71,10,26,157,144,213,206,90,2,186,26,0,71,0,1415,2662
Kerala,Kannur,22,35,59,15,83,185,149,403,190,65,1,222,26,1,183,0,1644,3283
Kerala,Kasargod,16,27,59,8,32,142,161,318,223,55,0,123,16,3,93,6,801,2083
Kerala,Kollam Commr.,10,34,78,13,63,95,143,276,187,132,1,287,287,0,181,0,1418,3205
Kerala,Kollam Rural,28,35,81,19,32,194,161,228,192,107,2,240,0,0,123,0,1053,2495
Kerala,Kottayam,17,32,75,14,38,169,235,156,240,108,0,204,41,0,199,0,12303,13831
Kerala,Kozhikode Commr.,8,13,35,2,52,183,282,189,259,31,1,107,6,1,141,0,1982,3292
Kerala,Kozhikode Rural,9,54,52,10,36,196,203,288,347,42,0,226,95,4,199,0,1840,3601
Kerala,Malappuram,19,50,103,8,34,271,310,682,374,103,1,346,10,5,319,3,12448,15086
Kerala,Palakkad,23,53,88,21,52,204,308,437,410,97,7,182,46,3,272,1,2411,4615
Kerala,Pathanamthitta,11,37,63,13,41,187,228,75,274,136,0,163,16,0,98,0,5022,6364
Kerala,Railways,3,0,0,2,12,2,299,6,2,0,0,74,18,0,0,0,0,418
Kerala,Thrissur Commr.,17,17,38,8,34,83,165,73,362,67,0,109,22,7,100,0,3233,4335
Kerala,Thrissur Rural,24,57,94,10,68,141,263,213,467,165,2,298,41,5,261,3,14859,16971
Kerala,Trivandrum Commr.,13,23,56,14,59,147,325,226,294,48,2,254,52,5,125,13,8816,10472
Kerala,Trivandrum Rural,45,78,122,19,83,472,338,383,361,209,6,581,15,0,250,7,5271,8240
Kerala,Wayanadu,9,15,75,16,21,79,64,135,169,37,0,134,35,3,64,0,785,1641
Kerala,Crime Branch,22,2,2,0,0,5,2,1,36,2,3,4,0,0,5,1,0,85
Kerala,Total,367,676,1347,222,869,3452,4700,4883,6091,1827,28,4367,980,37,3381,37,108962,142226
Madhya Pradesh,Agar,5,31,28,18,5,54,142,15,7,38,2,56,47,1,65,0,281,795
Madhya Pradesh,Alirajpur,46,20,17,17,10,35,94,9,5,63,0,15,0,0,86,0,306,723
Madhya Pradesh,Anuppur,35,16,70,107,23,168,187,24,22,29,7,121,43,9,66,0,305,1232
